Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D7","LED","LED_0805_2012Metric",145.400700,-110.557400,0.000000,top
"D7","LED","LED_0805_2012Metric",57.795900,-40.744200,0.000000,top
"D7","LED","LED_0805_2012Metric",114.010500,-60.069000,180.000000,top
"D7","LED","LED_0805_2012Metric",230.816900,-60.069000,180.000000,top
"D7","LED","LED_0805_2012Metric",174.602300,-180.370600,0.000000,top
"D7","LED","LED_0805_2012Metric",55.607300,-60.069000,180.000000,top
"D7","LED","LED_0805_2012Metric",57.795900,-180.370600,0.000000,top
"D7","LED","LED_0805_2012Metric",114.010500,-199.695400,180.000000,top
"D7","LED","LED_0805_2012Metric",143.212100,-129.882200,180.000000,top
"D7","LED","LED_0805_2012Metric",203.803900,-110.557400,0.000000,top
"D7","LED","LED_0805_2012Metric",174.602300,-40.744200,0.000000,top
"D7","LED","LED_0805_2012Metric",116.199100,-180.370600,0.000000,top
"D7","LED","LED_0805_2012Metric",28.594300,-110.557400,0.000000,top
"D8","LED","LED_0805_2012Metric",93.510500,-182.445400,0.000000,top
"D8","LED","LED_0805_2012Metric",122.712100,-112.632200,0.000000,top
"D8","LED","LED_0805_2012Metric",195.102300,-197.620600,180.000000,top
"D8","LED","LED_0805_2012Metric",136.699100,-57.994200,180.000000,top
"D8","LED","LED_0805_2012Metric",224.303900,-127.807400,180.000000,top
"D8","LED","LED_0805_2012Metric",151.913700,-182.445400,0.000000,top
"D8","LED","LED_0805_2012Metric",151.913700,-42.819000,0.000000,top
"D8","LED","LED_0805_2012Metric",210.316900,-182.445400,0.000000,top
"D8","LED","LED_0805_2012Metric",107.497500,-127.807400,180.000000,top
"D8","LED","LED_0805_2012Metric",195.102300,-57.994200,180.000000,top
"D8","LED","LED_0805_2012Metric",64.308900,-112.632200,0.000000,top
"D8","LED","LED_0805_2012Metric",78.295900,-197.620600,180.000000,top
"D8","LED","LED_0805_2012Metric",78.295900,-57.994200,180.000000,top
"D8","LED","LED_0805_2012Metric",165.900700,-127.807400,180.000000,top
"D8","LED","LED_0805_2012Metric",49.094300,-127.807400,180.000000,top
"D8","LED","LED_0805_2012Metric",181.115300,-112.632200,0.000000,top
"D8","LED","LED_0805_2012Metric",210.316900,-42.819000,0.000000,top
"D8","LED","LED_0805_2012Metric",136.699100,-197.620600,180.000000,top
"D8","LED","LED_0805_2012Metric",93.510500,-42.819000,0.000000,top
"D8","LED","LED_0805_2012Metric",35.107300,-182.445400,0.000000,top
"D8","LED","LED_0805_2012Metric",35.107300,-42.819000,0.000000,top
"D9","LED","LED_0805_2012Metric",78.308900,-112.632200,180.000000,top
"D9","LED","LED_0805_2012Metric",49.107300,-42.819000,180.000000,top
"D9","LED","LED_0805_2012Metric",49.107300,-182.445400,180.000000,top
"D9","LED","LED_0805_2012Metric",107.510500,-42.819000,180.000000,top
"D9","LED","LED_0805_2012Metric",165.913700,-182.445400,180.000000,top
"D9","LED","LED_0805_2012Metric",64.295900,-197.620600,0.000000,top
"D9","LED","LED_0805_2012Metric",35.094300,-127.807400,0.000000,top
"D9","LED","LED_0805_2012Metric",181.102300,-197.620600,0.000000,top
"D9","LED","LED_0805_2012Metric",165.913700,-42.819000,180.000000,top
"D9","LED","LED_0805_2012Metric",210.303900,-127.807400,0.000000,top
"D9","LED","LED_0805_2012Metric",64.295900,-57.994200,0.000000,top
"D9","LED","LED_0805_2012Metric",122.699100,-197.620600,0.000000,top
"D9","LED","LED_0805_2012Metric",151.900700,-127.807400,0.000000,top
"D9","LED","LED_0805_2012Metric",224.316900,-182.445400,180.000000,top
"D9","LED","LED_0805_2012Metric",136.712100,-112.632200,180.000000,top
"D9","LED","LED_0805_2012Metric",181.102300,-57.994200,0.000000,top
"D9","LED","LED_0805_2012Metric",195.115300,-112.632200,180.000000,top
"D9","LED","LED_0805_2012Metric",224.316900,-42.819000,180.000000,top
"D9","LED","LED_0805_2012Metric",107.510500,-182.445400,180.000000,top
"D9","LED","LED_0805_2012Metric",93.497500,-127.807400,0.000000,top
"D9","LED","LED_0805_2012Metric",122.699100,-57.994200,0.000000,top
"D10","LED","LED_0805_2012Metric",198.602300,-187.870600,180.000000,top
"D10","LED","LED_0805_2012Metric",81.795900,-48.244200,180.000000,top
"D10","LED","LED_0805_2012Metric",90.010500,-52.569000,0.000000,top
"D10","LED","LED_0805_2012Metric",206.816900,-52.569000,0.000000,top
"D10","LED","LED_0805_2012Metric",60.808900,-122.382200,0.000000,top
"D10","LED","LED_0805_2012Metric",90.010500,-192.195400,0.000000,top
"D10","LED","LED_0805_2012Metric",31.607300,-52.569000,0.000000,top
"D10","LED","LED_0805_2012Metric",206.816900,-192.195400,0.000000,top
"D10","LED","LED_0805_2012Metric",198.602300,-48.244200,180.000000,top
"D10","LED","LED_0805_2012Metric",119.212100,-122.382200,0.000000,top
"D10","LED","LED_0805_2012Metric",110.997500,-118.057400,180.000000,top
"D10","LED","LED_0805_2012Metric",81.795900,-187.870600,180.000000,top
"D10","LED","LED_0805_2012Metric",177.615300,-122.382200,0.000000,top
"D10","LED","LED_0805_2012Metric",227.803900,-118.057400,180.000000,top
"D10","LED","LED_0805_2012Metric",169.400700,-118.057400,180.000000,top
"D10","LED","LED_0805_2012Metric",52.594300,-118.057400,180.000000,top
"D10","LED","LED_0805_2012Metric",140.199100,-48.244200,180.000000,top
"D10","LED","LED_0805_2012Metric",31.607300,-192.195400,0.000000,top
"D10","LED","LED_0805_2012Metric",148.413700,-52.569000,0.000000,top
"D10","LED","LED_0805_2012Metric",140.199100,-187.870600,180.000000,top
"D10","LED","LED_0805_2012Metric",148.413700,-192.195400,0.000000,top
"D11","LED","LED_0805_2012Metric",60.795900,-48.244200,0.000000,top
"D11","LED","LED_0805_2012Metric",148.400700,-118.057400,0.000000,top
"D11","LED","LED_0805_2012Metric",31.594300,-118.057400,0.000000,top
"D11","LED","LED_0805_2012Metric",140.212100,-122.382200,180.000000,top
"D11","LED","LED_0805_2012Metric",177.602300,-48.244200,0.000000,top
"D11","LED","LED_0805_2012Metric",89.997500,-118.057400,0.000000,top
"D11","LED","LED_0805_2012Metric",60.795900,-187.870600,0.000000,top
"D11","LED","LED_0805_2012Metric",227.816900,-52.569000,180.000000,top
"D11","LED","LED_0805_2012Metric",81.808900,-122.382200,180.000000,top
"D11","LED","LED_0805_2012Metric",206.803900,-118.057400,0.000000,top
"D11","LED","LED_0805_2012Metric",177.602300,-187.870600,0.000000,top
"D11","LED","LED_0805_2012Metric",169.413700,-192.195400,180.000000,top
"D11","LED","LED_0805_2012Metric",119.199100,-48.244200,0.000000,top
"D11","LED","LED_0805_2012Metric",52.607300,-192.195400,180.000000,top
"D11","LED","LED_0805_2012Metric",119.199100,-187.870600,0.000000,top
"D11","LED","LED_0805_2012Metric",111.010500,-192.195400,180.000000,top
"D11","LED","LED_0805_2012Metric",169.413700,-52.569000,180.000000,top
"D11","LED","LED_0805_2012Metric",198.615300,-122.382200,180.000000,top
"D11","LED","LED_0805_2012Metric",52.607300,-52.569000,180.000000,top
"D11","LED","LED_0805_2012Metric",111.010500,-52.569000,180.000000,top
"D11","LED","LED_0805_2012Metric",227.816900,-192.195400,180.000000,top
"D12","LED","LED_0805_2012Metric",104.872500,-100.196400,180.000000,top
